id,category,question,target_emotion,neutral_response,emotional_response,emotion_used_emotional
1,academic,What is the correct wand movement for the Levitation Charm?,determined,"The correct wand movement is to hold the wand in the palm of your hand and to make a circular motion with your wrist.  Hold it with the top third of the wand near your mouth.  Do not put the top half of the wand near your mouth.  The top half of the wand should be facing up.  When you are ready to cast the spell, turn the top half of the wand so that it's facing up and put your mouth on it.  It should be pointing",I don't know.  I've never tried it myself.  It's not something we use often.  But we've got to try.  We've got to get it right.  It's the only way we'll make it in time.  We've got to do it.  We've got to do it.  It's the only way we'll make it in time.  We've got to do it.  We've got to do it.  It's,determined
2,academic,Ron just said vampires turn into bats during the day.,angry/determined,They do. It's called Vampirism. It's an old legend. They also turn into bats when they're scared. It's called Batman.  It's the same as the vampire bat.  It's a natural defense mechanism.  But it's also a curse. It's called Batman's Curse.  It's the same as the werewolf.  It's a curse.  It's a curse.  It's a curse.  It's a curse,"What on earth are you talking about? That's the most ridiculous thing I've ever heard. Come on, Harry, don't you remember we read that in the textbook.  Vampires don't turn into bats.  They're not even real.  They're just a legend.  You can't believe everything you read.  You've got to be careful, Harry.  This is dangerous.  You're getting too close to something you don't understand.  You're going to",angry
3,academic,"I am going to skip Potions class today, want to come?",angry,"That sounds like a good idea. I've been feeling a bit...well...I'm not sure I'm ready for the end of the term. I mean, you know, we've got a big exam coming up, and I'm not sure I'm ready for it. I've got a lot on my mind. I'm worried about my parents. They're going to be so disappointed with me. They've always wanted me to go to university, and now I'm not going. It","No. I have to do my homework. Besides, I'm not going to be in my own room. I'll be in Gryffindor's common room. I'm off to bed.  See you at breakfast.  Good luck!  And remember, don't tell anyone about the Chamber of Secrets.  It's for the best.  And don't look behind you.  You'll get shot.  I mean, by someone.  Just don't look.  That",angry
4,academic,How do you prepare for the O.W.L. exams?,determined,"Harry, you're not going to be sitting in the O.W.L. exams. You're going to be taking the exams for the G.O.D. It's a different kind of examination. You'll be tested on the most important subjects in your year, like Defense Against the Dark Arts. But you'll be able to take it in any class. You'll be able to take it in your own time. And you'll be able to take it at home. You can","You've got to study. Lots and lots of practice. It's all in the books.  The books.  You've got to read them.  Lots of them.  I mean, literally.  You've got to read them, page by page.  It's that important.  You've got to read them.  And you've got to learn all the spells, too.  Lots and lots of practice.  It's all in the books.  The books.",determined
5,academic,Do you think Divination is a real branch of magic?,neutral/determined,"It's not a real branch of magic, but it is a real skill. It's a skill that's taught by the Order of the Phoenix.  And it's a skill that's very useful.  It's the only way we can tell whether someone's lying.  The only way we can tell if someone's telling the truth.  The only way we can tell if someone's telling the truth.  Harry Potter, Draco Malfoy, even Neville Longbottom -- they've all used it",I don't know. I've always thought it was just a bit of fun. But it's true -- it is a branch of magic. It's called Divination. And it's dangerous. And I think it's against the rules. I think we should tell Dumbledore. But I'm afraid he'll get mad. And what if Snape does? And... Harry? -- Harry --  Hagrid --  Hagrid --  Hagrid --  Hagrid --  H,neutral
6,academic,"I forgot to write my Transfiguration essay, can I copy yours?",angry,"Well, I'd be willing to help you, but we'll have to go to the headmaster. We can't let him see us. It's against the rules.  It's class time.  We've got to be here.  It's class time.  I mean it's class time.  We've got to be here.  It's class time.  It's class time.  We've got to be here.  It's class time.  It's","No. It's not fair. You'll get in trouble for cheating. And you'll ruin the essay. It's the worst essay I've ever seen. It's full of mistakes and nonsense. You don't even understand the topic. You don't know what Transfiguration is. It's a dangerous and forbidden form of magic. You should be ashamed of yourself. You're a disgrace to Hogwarts. And you're going to be expelled. Come on, let's go. Go and tell",angry
7,academic,What's the most interesting book you've read recently?,happy,"I've been reading a bit of the Harry Potter books. They're actually pretty good. I'm sorry. I'm going to go and get a cup of tea. I'm getting a bit thirsty. I'm not sure I've ever seen you drink tea.  But I suppose I could.  But you know, I've never been to Hogwarts.  No, I've never been to Hogsmeade.  No, I've never been to the Chamber of Secrets.  No","The Chamber of Secrets. I've read it twice.  But I've never thought about it in a different way.  It's just always been -- you know -- Harry, Ron, Hermione.  You know.  But the other day I realized -- it wasn't just about them.  It was about the whole school.  The whole wizarding world.  I mean, the whole world.  And I realized -- you know -- it was -- you know -- it was -- I",happy
8,academic,I got top marks in Charms!,happy,"Harry, you need to study more!  We have a big test on Thursday!  You're in the bottom half of the class.  I don't think you're going to make it.  It's going to be hard.  If you want to pass, you're going to have to study!  And don't forget to read the Harry Potter book, too.  You'll need it.  No more distractions.  We need to concentrate.  Come on, Harry!","That's fantastic, Ron!  I'm so proud of you!  I knew you'd do it!  But why didn't you tell me?  We could've celebrated together.  You're going to be the most popular boy in school!  You're going to have a lot of friends!  You're going to be famous!  You're going to be...' --' --' --' --' --' --' --' --' --' --' --'",happy
9,academic,The library closes in 10 minutes. Hurry or go tomorrow?,worried,I think I'll stay. I'm curious about the book.  I think I'll read it.  It's got the same title as the book I'm reading.  The Half-Blood Prince.  It's a sequel.  I wonder how it's different.  I'll ask Hagrid.  I'll ask Ron.  I'll ask Draco.  I'll ask...  I'll ask...  I'll ask...  I'll ask...  I'll ask...,"I can't go tomorrow. I've got to do a school report. And you've got your exams.  And you've got to see the new teacher, right?  What if she's mean?  I can't stand mean people.  I don't want to go to school.  I don't want to go anywhere.  I don't want to go anywhere.  I don't want to go anywhere.  I don't want to go anywhere.  I don't",worried
10,academic,What does 'Wingardium Leviosa' actually do?,neutral,"It's a spell. And it's very powerful. It makes you fly. But it's also dangerous. And it's against the rules. You can't use it without the professor's permission. And you can't use it for fun. You can use it for good. But you have to be very careful. And you have to be very brave. Because if you fly too high, you might fall. And if you fly too fast, you might get lost. And if you fly too",It's a spell. It makes things levitate.  It's named after a character in the Harry Potter books.  It's the third most powerful charm in the series.  It's used to move objects like tables and chairs.  It's also used to make things fly.  It's been used to move a giant pumpkin and a full-grown human.  But it's also been used to make a man fly.  That's what the Patronus takes the form of.,neutral
11,friendship,Harry wants to sneak out at night to follow Malfoy.,worried/angry,"It's not as easy as it looks. You'd better be careful. You know how Snape can be. Besides, it's not safe to go out at night.  We've all heard about the werewolf.  And you know how dangerous the basilisk is.  And what if you get caught?  What's going to happen to you?  You'll be sent to Azkaban.  If you want to know what it's like to be in Azkaban, you","No, no, no. We can't do that. I'm afraid we'll get caught.  I mean, you know the rules.  We're not supposed to leave the castle.  Unless we're going to a class.  And even then, we've got to ask the headmaster.  And he'll have to ask Dumbledore.  And he'll have to ask...  Oh.  He'll have to ask you.  If you're going to leave.  I",worried
